op_id,best_schema,best_rewrite,best_duckdb_joules,mssql_joules,energy_reduction_x,all_alternatives_tested,status
1,C,default,0.069215,13.900000,200.8,3,PASS
2,C,default,0.003150,1.550000,492.1,3,PASS
3,C,default,0.014112,0.500000,35.4,3,PASS
4,C,default,0.063651,15.650000,245.9,3,PASS
5,A,default,0.004694,1.700000,362.2,3,PASS
6,C,default,0.032896,0.400000,12.2,12,PASS
7,C,default,0.055334,0.600000,10.8,12,PASS
8,B,default,0.160655,0.350000,2.2,12,PASS
9,C,alt_b,0.007651,0.350000,45.7,12,PASS
10,B,default,0.001791,0.350000,195.4,12,PASS
11,B,default,0.013906,0.350000,25.2,3,PASS
12,B,default,0.002261,0.400000,176.9,12,PASS
13,C,default,0.012339,0.500000,40.5,12,PASS
14,B,default,0.015370,0.350000,22.8,12,PASS
15,C,default,0.007014,0.350000,49.9,12,PASS
16,C,default,0.003569,0.350000,98.1,3,PASS
17,B,default,0.015459,0.350000,22.6,3,PASS
18,C,default,0.010610,0.350000,33.0,3,PASS
19,C,default,0.017216,0.400000,23.2,3,PASS
20,B,default,0.025064,0.400000,16.0,3,PASS
21,B,default,0.002293,0.450000,196.2,3,PASS
22,A,default,0.021179,0.500000,23.6,3,PASS
23,C,default,0.003424,0.400000,116.8,3,PASS
24,A,default,0.035420,0.350000,9.9,3,PASS
25,B,default,0.012091,0.350000,28.9,12,PASS
26,A,default,0.070376,0.500000,7.1,3,PASS
27,B,alt_c,0.058009,0.450000,7.8,12,PASS
28,C,default,0.004114,13.050000,3172.1,3,PASS
29,A,default,0.050942,0.500000,9.8,3,PASS
30,B,default,0.051992,0.550000,10.6,3,PASS
31,A,default,0.007292,527.750000,72373.8,12,PASS
32,B,default,0.009333,1.350000,144.6,12,PASS
33,B,default,0.002900,0.350000,120.7,12,PASS
34,B,default,0.004805,0.550000,114.5,12,PASS
35,A,default,0.005176,0.350000,67.6,12,PASS
36,B,default,0.036767,0.350000,9.5,3,PASS
37,B,default,0.004587,0.400000,87.2,3,PASS
38,B,default,0.009664,0.350000,36.2,3,PASS
39,C,default,0.005580,0.350000,62.7,3,PASS
40,B,alt_a,0.030238,0.450000,14.9,12,PASS
41,C,default,0.002183,0.350000,160.3,12,PASS
42,C,default,0.009740,0.350000,35.9,3,PASS
43,A,default,0.009042,0.350000,38.7,12,PASS
44,C,alt_c,0.001401,0.400000,285.5,12,PASS
45,B,default,0.008569,0.400000,46.7,3,PASS
46,B,default,0.001832,0.400000,218.3,12,PASS
47,C,default,0.010915,0.400000,36.6,12,PASS
48,B,alt_a,0.007913,0.350000,44.2,12,PASS
49,B,default,0.001784,0.350000,196.2,3,PASS
50,A,default,0.003512,0.700000,199.3,12,PASS
