op_id,status,duck_rows,gold_rows,duck_hash,gold_hash,duckdb_joules,mssql_joules,energy_reduction_x,error
1,PASS,100,100,e98ad195c498271f82def2fdba3a1f4f,e98ad195c498271f82def2fdba3a1f4f,0.075853,13.900000,183.2,
2,PASS,50,50,a3a8422ca41077e3d0e9e69e49e401f9,a3a8422ca41077e3d0e9e69e49e401f9,0.003781,1.550000,409.9,
3,PASS,100,100,9d88b6e04cc7c841e3d0116d1c513b36,9d88b6e04cc7c841e3d0116d1c513b36,0.012864,0.500000,38.9,
4,PASS,100,100,160aca41a67567eded5f019c798a189b,160aca41a67567eded5f019c798a189b,0.090565,15.650000,172.8,
5,PASS,100,100,4c78b5e0a4c64d541d0312dfbcea2e47,4c78b5e0a4c64d541d0312dfbcea2e47,0.005181,1.700000,328.1,
6,PASS,20,20,08fa1428e6741a45e49f0c2bf717fedc,08fa1428e6741a45e49f0c2bf717fedc,0.031846,0.400000,12.6,
7,PASS,50,50,6d32734b27cf257b52e6bff47a5a073e,6d32734b27cf257b52e6bff47a5a073e,0.053059,0.600000,11.3,
8,PASS,20,20,54177d4c9ae631ee2471ded84fe4182c,54177d4c9ae631ee2471ded84fe4182c,0.206161,0.350000,1.7,
9,PASS,50,50,8cc3c7d4bddac78dff0d2ef442c4a7e4,8cc3c7d4bddac78dff0d2ef442c4a7e4,0.009490,0.350000,36.9,
10,PASS,1,1,64541d93b3cf38f5c33667654237a8e2,64541d93b3cf38f5c33667654237a8e2,0.001801,0.350000,194.3,
11,PASS,50,50,7b70a9f7876e62f729a5f81cd654fdf4,7b70a9f7876e62f729a5f81cd654fdf4,0.011315,0.350000,30.9,
12,PASS,2,2,e1f3de8feaf1b3eccddcf1f8eb0576df,e1f3de8feaf1b3eccddcf1f8eb0576df,0.002604,0.400000,153.6,
13,PASS,20,20,1c36e59b14679b0adb9e07fe90632e5a,1c36e59b14679b0adb9e07fe90632e5a,0.074024,0.500000,6.8,
14,PASS,1,1,10bc1317d9384e433cdb5959b6a249d7,10bc1317d9384e433cdb5959b6a249d7,0.014652,0.350000,23.9,
15,PASS,2,2,10d89f917296aa81cdb015cfdf4c77d3,10d89f917296aa81cdb015cfdf4c77d3,0.007395,0.350000,47.3,
16,PASS,0,0,d41d8cd98f00b204e9800998ecf8427e,d41d8cd98f00b204e9800998ecf8427e,0.004341,0.350000,80.6,
17,PASS,50,50,c6dd9683c0bf759242fed77c699419b7,c6dd9683c0bf759242fed77c699419b7,0.016443,0.350000,21.3,
18,PASS,50,50,be3d010f2f82009bf7b1e3a28ee83761,be3d010f2f82009bf7b1e3a28ee83761,0.009386,0.350000,37.3,
19,PASS,20,20,2785059d2a7160977fdd2bb528e92b49,2785059d2a7160977fdd2bb528e92b49,0.013455,0.400000,29.7,
20,PASS,50,50,c573bd2ca741d1f769293ad8523a4ffd,c573bd2ca741d1f769293ad8523a4ffd,0.021636,0.400000,18.5,
21,PASS,10,10,3d2930100b6d210e9072fc0013600494,3d2930100b6d210e9072fc0013600494,0.003213,0.450000,140.1,
22,PASS,50,50,f8c314040253525f2b15765d663eb270,f8c314040253525f2b15765d663eb270,0.023208,0.500000,21.5,
23,PASS,50,50,96e748c96d9ebc0958dd9be1902c7137,96e748c96d9ebc0958dd9be1902c7137,0.003972,0.400000,100.7,
24,PASS,50,50,61c35058a88dfda8bd9cd427088b76b6,61c35058a88dfda8bd9cd427088b76b6,0.027973,0.350000,12.5,
25,PASS,1,1,ed8e459a1f2908d26e0acdd088d989d9,ed8e459a1f2908d26e0acdd088d989d9,0.010038,0.350000,34.9,
26,PASS,3117,3117,92e29894f9eb97764cf7e2463fe5c658,92e29894f9eb97764cf7e2463fe5c658,0.065613,0.500000,7.6,
27,PASS,50,50,2ab62b15a617cee439801dd982ebd9e1,2ab62b15a617cee439801dd982ebd9e1,0.050026,0.450000,9.0,
28,PASS,100,100,0a7d36ff3ef1cc2976a95a1725038414,0a7d36ff3ef1cc2976a95a1725038414,0.004679,13.050000,2789.0,
29,PASS,100,100,c9559e0c921abd7522aa3e7e59a938e8,c9559e0c921abd7522aa3e7e59a938e8,0.044564,0.500000,11.2,
30,PASS,100,100,5e3cd352f4587dff56d176e278f86f08,5e3cd352f4587dff56d176e278f86f08,0.048647,0.550000,11.3,
31,PASS,50,50,fbac715569900e0cc01d507dada7373c,fbac715569900e0cc01d507dada7373c,0.008113,527.750000,65050.0,
32,PASS,50,50,c73bd6e0b85a8c519dca263f63b8ca10,c73bd6e0b85a8c519dca263f63b8ca10,0.009824,1.350000,137.4,
33,PASS,1,1,d595a3d36830e84834513e747ac80d58,d595a3d36830e84834513e747ac80d58,0.003028,0.350000,115.6,
34,PASS,50,50,55cf2f3672b108301c21a141ac1e233f,55cf2f3672b108301c21a141ac1e233f,0.004893,0.550000,112.4,
35,PASS,50,50,b056cf3458e4f24809ad3ab4d04db4d2,b056cf3458e4f24809ad3ab4d04db4d2,0.005874,0.350000,59.6,
36,PASS,50,50,3d6f82f3592d7f8b447f91979a98615c,3d6f82f3592d7f8b447f91979a98615c,0.038427,0.350000,9.1,
37,PASS,100,100,702d71017dfbcc1b5078fd9b5c4ba9f0,702d71017dfbcc1b5078fd9b5c4ba9f0,0.005239,0.400000,76.3,
38,PASS,50,50,627200b2776db217352c3e0eee54fbcd,627200b2776db217352c3e0eee54fbcd,0.009962,0.350000,35.1,
39,PASS,6,6,45da78135601b3f7d3284561924a6c72,45da78135601b3f7d3284561924a6c72,0.005778,0.350000,60.6,
40,PASS,50,50,29979530680b6229224b7068e7c5a0fa,29979530680b6229224b7068e7c5a0fa,0.026943,0.450000,16.7,
41,PASS,50,50,099b6fb8e455d60b4ca9e05817b04805,099b6fb8e455d60b4ca9e05817b04805,0.009795,0.350000,35.7,
42,PASS,50,50,cc499f9fb31ebaa6783f09038a60f1d8,cc499f9fb31ebaa6783f09038a60f1d8,0.009116,0.350000,38.4,
43,PASS,50,50,0205eab1fe8a0e7184b2e0a1a1135e01,0205eab1fe8a0e7184b2e0a1a1135e01,0.008135,0.350000,43.0,
44,PASS,0,0,d41d8cd98f00b204e9800998ecf8427e,d41d8cd98f00b204e9800998ecf8427e,0.002403,0.400000,166.5,
45,PASS,100,100,357d89c9caedfa4f1eb3738c9b2e304a,357d89c9caedfa4f1eb3738c9b2e304a,0.007025,0.400000,56.9,
46,PASS,1,1,2ce4528bfae3f2a0670a70f06fe620ee,2ce4528bfae3f2a0670a70f06fe620ee,0.002002,0.400000,199.8,
47,PASS,2,2,b784cbdad7d668ba0294773c355e4036,b784cbdad7d668ba0294773c355e4036,0.009473,0.400000,42.2,
48,PASS,50,50,5b262ac0fd227e1441e3848579772d54,5b262ac0fd227e1441e3848579772d54,0.010834,0.350000,32.3,
49,PASS,1,1,5b7d8850d0e260df31688ea3c5b3fdc4,5b7d8850d0e260df31688ea3c5b3fdc4,0.002156,0.350000,162.3,
50,PASS,52,52,2bcba49ede6fc49d15fbda9c783004e0,2bcba49ede6fc49d15fbda9c783004e0,0.003603,0.700000,194.3,
