op_id,status,duck_rows,gold_rows,duck_hash,gold_hash,duckdb_joules,mssql_joules,energy_reduction_x,error
1,PASS,100,100,e98ad195c498271f82def2fdba3a1f4f,e98ad195c498271f82def2fdba3a1f4f,0.065087,13.900000,213.6,
2,PASS,50,50,a3a8422ca41077e3d0e9e69e49e401f9,a3a8422ca41077e3d0e9e69e49e401f9,0.004200,1.550000,369.1,
3,PASS,100,100,9d88b6e04cc7c841e3d0116d1c513b36,9d88b6e04cc7c841e3d0116d1c513b36,0.012486,0.500000,40.0,
4,PASS,100,100,160aca41a67567eded5f019c798a189b,160aca41a67567eded5f019c798a189b,0.068212,15.650000,229.4,
5,PASS,100,100,4c78b5e0a4c64d541d0312dfbcea2e47,4c78b5e0a4c64d541d0312dfbcea2e47,0.005242,1.700000,324.3,
6,PASS,20,20,08fa1428e6741a45e49f0c2bf717fedc,08fa1428e6741a45e49f0c2bf717fedc,0.040857,0.400000,9.8,
7,PASS,50,50,6d32734b27cf257b52e6bff47a5a073e,6d32734b27cf257b52e6bff47a5a073e,0.055275,0.600000,10.9,
8,PASS,20,20,54177d4c9ae631ee2471ded84fe4182c,54177d4c9ae631ee2471ded84fe4182c,0.177155,0.350000,2.0,
9,PASS,50,50,8cc3c7d4bddac78dff0d2ef442c4a7e4,8cc3c7d4bddac78dff0d2ef442c4a7e4,0.009160,0.350000,38.2,
10,PASS,1,1,64541d93b3cf38f5c33667654237a8e2,64541d93b3cf38f5c33667654237a8e2,0.001793,0.350000,195.2,
11,PASS,50,50,7b70a9f7876e62f729a5f81cd654fdf4,7b70a9f7876e62f729a5f81cd654fdf4,0.060096,0.350000,5.8,
12,PASS,2,2,e1f3de8feaf1b3eccddcf1f8eb0576df,e1f3de8feaf1b3eccddcf1f8eb0576df,0.002497,0.400000,160.2,
13,PASS,20,20,1c36e59b14679b0adb9e07fe90632e5a,1c36e59b14679b0adb9e07fe90632e5a,0.009964,0.500000,50.2,
14,PASS,1,1,10bc1317d9384e433cdb5959b6a249d7,10bc1317d9384e433cdb5959b6a249d7,0.013089,0.350000,26.7,
15,PASS,2,2,10d89f917296aa81cdb015cfdf4c77d3,10d89f917296aa81cdb015cfdf4c77d3,0.007438,0.350000,47.1,
16,PASS,0,0,d41d8cd98f00b204e9800998ecf8427e,d41d8cd98f00b204e9800998ecf8427e,0.004437,0.350000,78.9,
17,PASS,50,50,c6dd9683c0bf759242fed77c699419b7,c6dd9683c0bf759242fed77c699419b7,0.016700,0.350000,21.0,
18,PASS,50,50,be3d010f2f82009bf7b1e3a28ee83761,be3d010f2f82009bf7b1e3a28ee83761,0.010306,0.350000,34.0,
19,PASS,20,20,2785059d2a7160977fdd2bb528e92b49,2785059d2a7160977fdd2bb528e92b49,0.016041,0.400000,24.9,
20,PASS,50,50,c573bd2ca741d1f769293ad8523a4ffd,c573bd2ca741d1f769293ad8523a4ffd,0.021185,0.400000,18.9,
21,PASS,10,10,3d2930100b6d210e9072fc0013600494,3d2930100b6d210e9072fc0013600494,0.002810,0.450000,160.1,
22,PASS,50,50,f8c314040253525f2b15765d663eb270,f8c314040253525f2b15765d663eb270,0.018741,0.500000,26.7,
23,PASS,50,50,96e748c96d9ebc0958dd9be1902c7137,96e748c96d9ebc0958dd9be1902c7137,0.003754,0.400000,106.5,
24,PASS,50,50,61c35058a88dfda8bd9cd427088b76b6,61c35058a88dfda8bd9cd427088b76b6,0.026278,0.350000,13.3,
25,PASS,1,1,ed8e459a1f2908d26e0acdd088d989d9,ed8e459a1f2908d26e0acdd088d989d9,0.009897,0.350000,35.4,
26,PASS,3117,3117,92e29894f9eb97764cf7e2463fe5c658,92e29894f9eb97764cf7e2463fe5c658,0.063045,0.500000,7.9,
27,PASS,50,50,2ab62b15a617cee439801dd982ebd9e1,2ab62b15a617cee439801dd982ebd9e1,0.049453,0.450000,9.1,
28,PASS,100,100,0a7d36ff3ef1cc2976a95a1725038414,0a7d36ff3ef1cc2976a95a1725038414,0.005023,13.050000,2597.8,
29,PASS,100,100,c9559e0c921abd7522aa3e7e59a938e8,c9559e0c921abd7522aa3e7e59a938e8,0.047161,0.500000,10.6,
30,PASS,100,100,5e3cd352f4587dff56d176e278f86f08,5e3cd352f4587dff56d176e278f86f08,0.045338,0.550000,12.1,
31,PASS,50,50,fbac715569900e0cc01d507dada7373c,fbac715569900e0cc01d507dada7373c,0.008053,527.750000,65537.7,
32,PASS,50,50,c73bd6e0b85a8c519dca263f63b8ca10,c73bd6e0b85a8c519dca263f63b8ca10,0.010071,1.350000,134.1,
33,PASS,1,1,d595a3d36830e84834513e747ac80d58,d595a3d36830e84834513e747ac80d58,0.003626,0.350000,96.5,
34,PASS,50,50,55cf2f3672b108301c21a141ac1e233f,55cf2f3672b108301c21a141ac1e233f,0.005043,0.550000,109.1,
35,PASS,50,50,b056cf3458e4f24809ad3ab4d04db4d2,b056cf3458e4f24809ad3ab4d04db4d2,0.005893,0.350000,59.4,
36,PASS,50,50,3d6f82f3592d7f8b447f91979a98615c,3d6f82f3592d7f8b447f91979a98615c,0.032864,0.350000,10.6,
37,PASS,100,100,702d71017dfbcc1b5078fd9b5c4ba9f0,702d71017dfbcc1b5078fd9b5c4ba9f0,0.005337,0.400000,74.9,
38,PASS,50,50,627200b2776db217352c3e0eee54fbcd,627200b2776db217352c3e0eee54fbcd,0.009304,0.350000,37.6,
