query_id,duckdb_s,clickhouse_s,chdb_s,postgresql_s,mysql_s,sqlite_s
1,0.018,0.001,0.003,258.557,327.14,1.638
2,0.041,0.006,0.011,258.532,371.35,382.856
3,0.074,0.024,0.026,258.521,375.07,384.808
4,0.086,0.03,0.033,258.487,373.45,6.053
5,0.349,0.269,0.393,272.624,389.3,49.752
6,0.344,0.591,0.5,278.224,579.06,503.121
7,0.03,0.011,0.014,258.399,382.36,9.053
8,0.038,0.01,0.016,258.413,377.58,384.848
9,0.443,0.443,0.553,284.965,437.1,442.954
10,0.612,0.495,0.607,286.655,453.71,453.813
11,0.15,0.132,0.178,258.962,408.65,389.4
12,0.17,0.168,0.183,259.255,417.98,389.017
13,0.41,0.412,0.633,263,465.13,398
14,0.782,0.604,0.916,267.412,444.22,400.982
15,0.473,0.502,0.66,265.019,472.52,401.571
16,0.393,0.393,0.461,272.948,631.28,186.417
17,0.901,1.756,1.895,455.687,861.49,434.779
18,0.663,1.007,1.194,268.499,866.51,403.2
19,1.654,2.816,3.755,300.785,1246.52,478.656
20,0.049,0.002,0.022,258.053,377.38,4.901
21,0.717,0.282,0.54,258.041,439.96,385.926
22,0.775,0.085,0.724,258.013,445.42,386.631
23,1.169,0.63,1.144,257.996,440.65,382.817
24,0.368,0.077,0.649,257.974,586.6,386.174
25,0.072,0.099,0.154,257.945,410.96,386.212
26,0.166,0.164,0.186,258.059,412.73,385.592
27,0.069,0.041,0.151,257.889,420.7,387.317
28,0.645,0.085,0.085,257.873,422.33,362.096
29,6.478,1.828,5.26,268.611,812.83,null
30,0.069,0.036,0.039,257.808,689.62,547.861
31,0.407,0.346,0.386,262.344,474.22,396.335
32,0.611,0.623,0.746,264.616,636.96,395.207
33,2.037,4.295,4.848,479.6,2982.71,460.417
34,2.054,2.339,3.234,350.487,930.72,501.332
35,2.198,2.355,3.261,344.891,927.95,548.246
36,0.468,0.357,0.324,264.83,737.59,441.794
37,0.052,0.034,0.055,257.63,3.41,0.806
38,0.04,0.025,0.035,257.613,3.03,0.655
39,0.039,0.017,0.025,257.667,0.94,0.324
40,0.086,0.088,0.096,257.69,4.59,1.706
41,0.042,0.014,0.027,257.672,0.67,0.399
42,0.041,0.01,0.017,257.513,0.66,0.423
43,0.039,0.008,0.016,257.62,1,0.723
