op,status,duck_rows,gold_rows,gold_hash,duck_hash,error
1,PASS,100,100,f20322bc43979958,f20322bc43979958,""
2,MISMATCH,50,50,ee322790bd8dfef7,22e9d60420dc8ab4,"line 0: duck=1,Jeannie Krause,Marketing,Engineer,155385.00,38,2881477.00 | gold=1,Jeannie Krause,Marketing,Engineer,155385.00,60,2881477.00"
3,PASS,100,100,3e6290ff7c8aada5,3e6290ff7c8aada5,""
4,PASS,100,100,7ff7ad5ffb2b4d78,7ff7ad5ffb2b4d78,""
5,MISMATCH,100,100,44a0cf55993d21c4,edb6543570beaaff,"line 19: duck=Jeannie Krause,Olive Bean,Legal,2,Indirect | gold=Jeannie Krause,Evelyn Fisher,Operations,2,Indirect"
6,MISMATCH,20,20,f58b0d44128102f6,453843506d56e5e2,"line 0: duck=1,Jeannie Krause,<Skills>['<Skill level="Expert">Python</Skill>', '<Skill level= | gold=1,Jeannie Krause,<Skill level="Expert">Python</Skill><Skill level="Advanced">Doc"
7,MISMATCH,50,50,3c6494a140027041,b5fe29dda642dafb,"line 0: duck=1,Jeannie Krause,Advanced,Project Management | gold=1,Jeannie Krause,Advanced,Docker"
8,MISMATCH,20,20,030223751063e3b0,a7928492eb5a92b0,"line 0: duck=1,Jeannie Krause,<Skills><Skill name="Project Management" level="Advanced"/><Ski | gold=1,Jeannie Krause,<Skills><Skill name="Python" level="Expert"/><Skill name="Docke"
9,PASS,50,50,e3c42eb5d1bc5bd2,e3c42eb5d1bc5bd2,""
10,PASS,1,1,c00bbc903bf0437d,c00bbc903bf0437d,""
11,MISMATCH,50,50,2bcf68d4e609245e,7aaff0fc70e7309a,"line 12: duck=13,crypto,net_60,"SAVE15",PO-2026-0013,NULL | gold=13,crypto,net_60,NULL,PO-2026-0013,NULL"
12,MISMATCH,10,2,2d1342a00d4603e4,8b7cb45003a7274b,"line 0: duck=[{"Department":"Customer Success","EmployeeName":"Kevin Green","TransactionsJSON | gold={"SalesReport":[{"Department":"Customer Success","EmployeeName":"Solomon Wilkins"
13,PASS,20,20,d7e69098c87d152b,d7e69098c87d152b,""
14,PASS,1,1,8f59da510de23c22,8f59da510de23c22,""
15,EXEC_FAIL,0,2,a5621cefed6b9244,,"Catalog Error: Scalar Function with name json_extract_array does not exist!
Did you mean "json_extract"?

LINE 14:     LATERAL unnest(json_extract_array(j.j, '$')) AS t(elem)
                         "
16,EXEC_FAIL,0,0,d41d8cd98f00b204,,"Binder Error: Cannot compare values of type VARCHAR and type TIMESTAMP WITH TIME ZONE - an explicit cast is required

LINE 10: WHERE ValidFrom <= CURRENT_TIMESTAMP - INTERVAL 1 DAY
                   "
17,EXEC_FAIL,0,50,c202bb6ee63d113d,,"Binder Error: Cannot compare values of type VARCHAR and type TIMESTAMP - an explicit cast is required

LINE 12: WHERE ValidFrom <= '2026-12-31'::TIMESTAMP
                         ^"
18,EXEC_FAIL,0,50,293eb58090169802,,"Binder Error: No function matches the given name and argument types 'datediff(STRING_LITERAL, VARCHAR, VARCHAR)'. You might need to add explicit type casts.
	Candidate functions:
	datediff(VARCHAR, DA"
19,EXEC_FAIL,0,20,0f800d60d8138eae,,"Binder Error: Cannot compare values of type VARCHAR and type TIMESTAMP WITH TIME ZONE - an explicit cast is required

LINE 10:           AND h.ValidFrom <= CURRENT_TIMESTAMP - INTERVAL 2 HOUR
        "
