=== OP 18 ===
STATUS: PASS  exit=0  elapsed=0.09s  rows=50

--- STDERR ---


--- STDOUT (tail) ---
530.36200000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698
26,1232659.87000000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698
27,2509443.72000000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698
28,619857.13650000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698
29,1021123.87000000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698
30,657243.72000000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698
31,1077039.80000000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698
32,304867.96000000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698
33,1546973.82000000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698
34,1856831.52000000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698
35,582231.72000000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698
36,2887299.50000000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698
37,1539859.66000000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698
38,389297.93000000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698
39,72289.95000000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698
40,646428.93000000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698
41,635114.57700000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698
42,3404679.53000000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698
43,3836468.53000000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698
44,106853.89000000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698
46,926262.57000000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698
47,891955.87000000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698
48,2564549.59000000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698
49,1176897.81000000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698
50,604655.82000000,2026-07-26 18:19:17.8370240,2026-07-26 18:30:55.2347494,698

(50 rows affected)

